date,open,high,low,close,unit_volume,bitmex_funding
20170321,1055.36,1122.43,1055.36,1120.54,301.0967998,-0.00117
20170322,1120.65,1120.65,1014.21,1049.14,363.0030234,-0.002466
20170323,1050.05,1058.01,1028.93,1038.59,239.3052119,-0.000921
20170324,1038.45,1040.47,934.36,937.52,523.7627101,-0.001188
20170325,936.54,975.76,903.71,972.78,447.9974999,-0.003015
20170326,974.02,1007.96,954.19,966.72,314.1219795,0.000177
20170327,972.05,1046.4,971.98,1045.77,356.2303451,-0.001206
20170328,1044.58,1064.65,1027.73,1047.15,311.6382562,-0.000321
20170329,1046.08,1055.13,1015.88,1039.97,286.9871092,-0.000324
20170330,1042.21,1049.29,1020.04,1026.43,343.8802373,0.000981
20170331,1026.64,1074.92,1026.64,1071.79,417.3270958,-0.000105
20170401,1071.71,1091.72,1061.09,1080.5,268.055515,0.000834
20170402,1080.61,1107.59,1075.45,1102.17,466.5224131,-0.000084
20170403,1102.95,1151.74,1102.95,1143.81,507.4654287,-0.00012
20170404,1145.52,1156.44,1120.52,1133.25,385.0077353,-0.006483
20170405,1134.14,1135.09,1113.63,1124.78,368.7690037,-0.004461
20170406,1125.81,1188.37,1125.81,1182.68,432.2572598,-0.000174
20170407,1178.94,1186.58,1163.39,1176.9,269.3703934,-0.002427
20170408,1172.65,1184.98,1162.58,1175.95,177.9939623,-0.001584
20170409,1176.57,1197.21,1171.86,1187.87,204.0147558,-0.004203
20170410,1187.3,1190.34,1179.04,1187.13,181.8528788,0.002493
20170411,1187.46,1208.07,1187.46,1205.01,179.4026606,-0.000024
20170412,1204.81,1207.14,1196.76,1200.37,240.5108558,-0.00003
20170413,1201.02,1205.89,1156.44,1169.28,301.0134373,-0.00312
20170414,1170.33,1190.8,1159.79,1167.54,218.2597667,-0.001482
20170415,1167.3,1188,1164.96,1172.52,173.6081329,-0.000336
20170416,1172.61,1187.22,1172.61,1182.94,154.8945914,-0.000807
20170417,1183.25,1194.9,1172.65,1193.91,212.0813127,0.00159
20170418,1193.77,1217.57,1193.77,1211.67,223.2654105,0.001986
20170419,1212.13,1215.51,1205.08,1210.29,238.0098918,-0.000624
20170420,1211.08,1240.79,1208.41,1229.08,256.3771276,-0.000624
20170421,1229.42,1235.94,1215.56,1222.05,222.7134798,0.005463
20170422,1222.71,1235.56,1208.47,1231.71,202.4177769,0.001038
20170423,1231.92,1232.2,1203.94,1207.21,214.503697,0.000876
20170424,1209.63,1250.94,1209.63,1250.15,188.6221653,-0.000855
20170425,1250.45,1267.58,1249.97,1265.49,191.6696299,-0.000198
20170426,1265.99,1294.83,1265.93,1281.08,257.3071221,0.002532
20170427,1281.88,1319.7,1281.3,1317.73,340.8869738,0.004692
20170428,1317.74,1331.28,1292.37,1316.48,400.6813563,0.004515
20170429,1317.84,1327.2,1315.21,1321.79,319.7981404,-0.00288
20170430,1321.87,1347.91,1314.92,1347.89,306.4901498,0.003039
20170501,1348.3,1434.32,1348.3,1421.6,501.9864941,0.00396
20170502,1421.03,1473.9,1415.69,1452.82,328.5596178,0.011157
20170503,1453.78,1492.77,1447.49,1490.09,391.7857096,0.003009
